,제목,청원시작일,청원종료일,참여인원,청원답변일,URL
94,동전택시기사사망사건. 철저한 수사와 엄정하고 강력한 처벌을 촉구합니다. 저희 아버님의 억울함을 풀어주세요.,2019. 02. 15,2019. 03. 17,"211,339",2019. 03. 15,https://www1.president.go.kr/petitions/527553
95,영광 여고생 사건 가해자들 강력 처벌해주새요,2019. 02. 19,2019. 03. 21,"217,786",2019. 03. 15,https://www1.president.go.kr/petitions/531087
96,우리 아들 **이의 억울함을 풀어주세요.,2019. 02. 18,2019. 03. 20,"255,113",2019. 03. 15,https://www1.president.go.kr/petitions/530372
97,"시민의 이름으로, 이번 김경수 지사 재판에 관련된 법원 판사 전원의 사퇴를 명령합니다.",2019. 01. 30,2019. 03. 01,"270,999",2019. 03. 15,https://www1.president.go.kr/petitions/512112
98,여.야는 속히 공수처 신설하라 !!!,2019. 01. 07,2019. 02. 06,"302,856",2019. 02. 22,https://www1.president.go.kr/petitions/489302
99,https 차단 정책에 대한 반대 의견,2019. 02. 11,2019. 03. 13,"269,180",2019. 02. 21,https://www1.president.go.kr/petitions/522031
100,조재범 코치를 강력처벌해주세요,2018. 12. 18,2019. 01. 17,"269,110",2019. 02. 13,https://www1.president.go.kr/petitions/472309
101,카풀반대,2018. 10. 16,2018. 11. 15,"216,448",2019. 01. 31,https://www1.president.go.kr/petitions/408154
102,짐승보다 못한 위탁모 에게 굶기고 맞아죽은 15개월된 저희딸 얘기좀 들어주세요....,2018. 12. 06,2019. 01. 05,"221,317",2019. 01. 30,https://www1.president.go.kr/petitions/462340
103,도살장에서 망치로 머리를 맞던 개가 잠시 튀어나가 옆에있는 자신의 새끼에게 젖물리며 죽었습니다. 짐승만도 못한 개도살을 자행하는 사람들..개도살을 멈추게해주세요,2018. 11. 27,2018. 12. 27,"214,251",2019. 01. 18,https://www1.president.go.kr/petitions/454045
104,"중국 알루미늄공장,막아주세요",2018. 11. 22,2018. 12. 22,"216,615",2019. 01. 18,https://www1.president.go.kr/petitions/449519
105,국회의원 연봉인상을 반대합니다.,2018. 12. 07,2019. 01. 06,"81,590",2019. 01. 07,https://www1.president.go.kr/petitions/462618
106,국회의원 내년 연봉 2000만원 인상 추진..최저임금 인상률보다 높은 14%.. 셀프인상을 즉각 중단하십시오!!,2018. 12. 07,2019. 01. 06,"243,938",2019. 01. 07,https://www1.president.go.kr/petitions/462623
107,억울하게 떠나신 저의 아버지의 원한을 풀어주세요,2018. 11. 09,2018. 12. 09,"397,079",2019. 01. 07,https://www1.president.go.kr/petitions/437737
108,이수역 폭행사건,2018. 11. 14,2018. 12. 14,"365,418",2018. 12. 26,https://www1.president.go.kr/petitions/442093
109,"경찰은 ‘일베 여친, 전여친 몰카사건’을 철저히 수사해서 범죄자들 처벌하라",2018. 11. 19,2018. 12. 19,"202,548",2018. 12. 26,https://www1.president.go.kr/petitions/446686
110,제발 도와주세요.. 너무나 사랑하는 23살 예쁜딸이 잔인한 두번의 살인행위로 차디찬 주검으로 돌아왔습니다...,2018. 10. 31,2018. 11. 30,"211,766",2018. 12. 26,https://www1.president.go.kr/petitions/426349
111,부하 여군을 강간한 두 명의 해군 간부를 처벌해주십시오.,2018. 11. 09,2018. 12. 09,"206,447",2018. 12. 18,https://www1.president.go.kr/petitions/436901
112,소년법 개정을 촉구 합니다!  17살 조카가 자살을 했습니다,2018. 10. 24,2018. 11. 23,"211,546",2018. 12. 18,https://www1.president.go.kr/petitions/418376
113,조두순의 출소를 반대합니다,2018. 10. 20,2018. 11. 19,"261,418",2018. 12. 18,https://www1.president.go.kr/petitions/412722
114,더 이스트라이트 폭행,2018. 10. 19,2018. 11. 18,"233,495",2018. 12. 18,https://www1.president.go.kr/petitions/411485
115,경남양산시 모 산부인과 의료사고 입니다. 제발 도와주세요 (산모의 남편입니다),2018. 10. 18,2018. 11. 17,"214,952",2018. 12. 17,https://www1.president.go.kr/petitions/410447
